user_id,cart_abandoned_date,last_order_date,avg_order_value,sessions_last_30d,num_cart_items,engagement_score,profitability_score,class_label,region
U00001,01-09-2025,25-09-2023,90,5,4,0.22,0.137,Casual,RegionB
U00002,01-09-2025,13-06-2025,130,0,1,0.087,0.095,Casual,RegionD
U00003,01-09-2025,14-12-2024,270,1,1,0.021,0.017,Dormant,RegionA
U00004,01-09-2025,27-06-2025,50,2,3,0.267,0.109,Casual,RegionA
U00005,01-09-2025,17-06-2025,180,6,5,0.655,0.203,Regular,RegionA
U00006,01-09-2025,,50,2,1,0.342,0.152,Casual,RegionD
U00007,01-09-2025,30-12-2023,120,4,4,0.435,0.11,Casual,RegionB
U00008,01-09-2025,16-03-2024,19990,1,3,0.22,0.833,Casual,RegionC
U00009,01-09-2025,,50,0,2,0.41,0.118,Casual,RegionA
U00010,01-09-2025,30-07-2025,230,6,3,0.384,0.135,Regular,RegionA
U00011,01-09-2025,,50,2,1,0.055,0.171,Casual,RegionB
U00012,01-09-2025,29-10-2023,50,3,2,0.305,0.029,Casual,RegionC
U00013,01-09-2025,03-06-2024,1170,11,1,0.891,0.247,VIP,RegionD
U00014,01-09-2025,07-03-2024,60,3,1,0.119,0,Casual,RegionD
U00015,01-09-2025,28-12-2024,50,3,2,0.464,0,Casual,RegionE
U00016,01-09-2025,25-07-2025,70,1,1,0.26,0.049,Casual,RegionA
U00017,01-09-2025,,19990,3,3,0.437,0.869,Regular,RegionA
U00018,01-09-2025,03-05-2025,70,1,1,0.389,0.042,Casual,RegionC
U00019,01-09-2025,13-06-2025,170,9,3,0.678,0.14,Regular,RegionA
U00020,01-09-2025,17-03-2024,180,4,5,0.326,0.135,Regular,RegionA
U00021,01-09-2025,31-07-2025,90,1,3,0.237,0.089,Casual,RegionC
U00022,01-09-2025,,80,6,1,0.464,0.106,Regular,RegionA
U00023,01-09-2025,12-08-2024,130,0,2,0.122,0.054,Casual,RegionC
U00024,01-09-2025,23-12-2023,140,2,2,0.239,0.07,Casual,RegionB
U00025,01-09-2025,09-07-2025,200,2,1,0.79,0.068,Regular,RegionA
U00026,01-09-2025,05-03-2025,50,3,1,0.571,0.205,Regular,RegionB
U00027,01-09-2025,30-04-2025,180,1,1,0.397,0.134,Casual,RegionC
U00028,01-09-2025,23-11-2024,730,7,3,0.026,0.106,VIP,RegionB
U00029,01-09-2025,02-08-2024,220,1,3,0.299,0.208,Regular,RegionD
U00030,01-09-2025,06-02-2025,70,5,1,0.765,0.234,Regular,RegionA
U00031,01-09-2025,31-12-2024,50,1,3,0.17,0.082,Casual,RegionD
U00032,01-09-2025,28-08-2024,50,2,2,0.603,0.199,Casual,RegionA
U00033,01-09-2025,19-11-2024,50,0,1,0,0.136,Casual,RegionA
U00034,01-09-2025,16-06-2025,50,4,1,0.188,0.124,Casual,RegionB
U00035,01-09-2025,16-07-2025,70,0,1,0.002,0.185,Casual,RegionA
U00036,01-09-2025,17-06-2025,580,0,4,0.027,0.047,Dormant,RegionA
U00037,01-09-2025,09-03-2024,4080,5,4,0.594,0.287,VIP,RegionE
U00038,01-09-2025,27-07-2025,80,1,3,0.413,0.274,Casual,RegionB
U00039,01-09-2025,02-01-2025,220,3,3,0.661,0.124,Regular,RegionA
U00040,01-09-2025,,120,1,3,0.316,0.098,Casual,RegionA
U00041,01-09-2025,24-08-2025,70,2,1,0.012,0.027,Casual,RegionA
U00042,01-09-2025,17-10-2024,90,1,1,0,0.119,Dormant,RegionC
U00043,01-09-2025,01-08-2024,90,2,2,0.205,0.082,Casual,RegionA
U00044,01-09-2025,02-04-2025,50,0,1,0,0.115,Casual,RegionD
U00045,01-09-2025,03-01-2025,50,3,1,0.345,0.144,Regular,RegionB
U00046,01-09-2025,22-06-2025,60,1,1,0.343,0.082,Casual,RegionA
U00047,01-09-2025,04-08-2025,180,6,3,0.798,0.147,Regular,RegionC
U00048,01-09-2025,,50,1,2,0.102,0.081,Casual,RegionA
U00049,01-09-2025,03-08-2025,380,5,2,0.555,0.147,Regular,RegionA
U00050,01-09-2025,29-11-2024,140,5,2,0.606,0.182,Regular,RegionA
U00051,01-09-2025,20-12-2024,130,3,2,0.518,0.15,Regular,RegionA
U00052,01-09-2025,08-06-2025,60,6,1,0.789,0.139,Regular,RegionB
U00053,01-09-2025,04-02-2025,260,8,1,0.585,0.091,Regular,RegionA
U00054,01-09-2025,,140,2,1,0.32,0.062,Casual,RegionD
U00055,01-09-2025,24-08-2024,50,5,3,0.227,0.175,Casual,RegionA
U00056,01-09-2025,10-06-2025,70,3,2,0.681,0.091,Casual,RegionB
U00057,01-09-2025,06-11-2024,110,3,2,0.856,0.185,Regular,RegionC
U00058,01-09-2025,01-06-2024,130,2,1,0.718,0.144,Regular,RegionC
U00059,01-09-2025,20-08-2025,50,3,1,0.23,0.146,Casual,RegionB
U00060,01-09-2025,21-11-2024,50,4,2,0.543,0.09,Casual,RegionB
U00061,01-09-2025,15-06-2025,630,0,2,0.039,0,Dormant,RegionA
U00062,01-09-2025,,50,1,1,0.211,0.098,Casual,RegionA
U00063,01-09-2025,13-08-2025,50,1,3,0.037,0.041,Casual,RegionA
U00064,01-09-2025,22-05-2024,100,3,1,0.564,0.126,Casual,RegionD
U00065,01-09-2025,30-12-2024,70,1,4,0.15,0.048,Casual,RegionD
U00066,01-09-2025,21-07-2025,50,3,4,0.077,0.126,Regular,RegionA
U00067,01-09-2025,01-07-2025,800,13,1,0.595,0.298,VIP,RegionA
U00068,01-09-2025,18-08-2025,50,1,2,0.32,0.262,Casual,RegionA
U00069,01-09-2025,15-05-2025,310,6,3,0.93,0.346,VIP,RegionB
U00070,01-09-2025,01-07-2025,70,2,1,0.163,0.133,Casual,RegionA
U00071,01-09-2025,04-07-2025,580,15,2,0.021,0.144,VIP,RegionD
U00072,01-09-2025,29-07-2025,50,4,2,0.426,0.08,Casual,RegionA
U00073,01-09-2025,28-07-2025,1310,5,1,0.005,0.079,VIP,RegionB
U00074,01-09-2025,13-06-2025,50,1,2,0.309,0.063,Casual,RegionB
U00075,01-09-2025,01-08-2025,80,2,2,0.449,0.053,Casual,RegionE
U00076,01-09-2025,08-08-2025,50,2,2,0,0.119,Casual,RegionC
U00077,01-09-2025,,60,2,2,0.1,0.061,Casual,RegionA
U00078,01-09-2025,20-01-2025,50,1,1,0.177,0.148,Casual,RegionD
U00079,01-09-2025,29-07-2025,70,5,3,0.813,0.117,Regular,RegionB
U00080,01-09-2025,21-02-2025,80,0,2,0.132,0.099,Casual,RegionC
U00081,01-09-2025,01-01-2024,50,0,1,0.312,0.13,Casual,RegionA
U00082,01-09-2025,11-05-2025,120,2,1,0.17,0.088,Casual,RegionA
U00083,01-09-2025,,110,7,3,0.526,0.144,Regular,RegionB
U00084,01-09-2025,23-02-2024,100,2,1,0.119,0.121,Casual,RegionA
U00085,01-09-2025,18-08-2024,190,7,4,0.027,0.191,VIP,RegionE
U00086,01-09-2025,10-08-2025,140,0,2,0,0.034,Dormant,RegionA
